Cocktail name
Trinidad Sour
Toronto
Ward 8
Buchanan Sour
Penicillin
Rusty Nail
Brandy Alexander
Brandy Manhattan
Hennessy and Coke
Japanese Cocktail
Stinger
Wisconsin Old Fashioned
Bitter Giuseppe 
Cynar Spritz
Fernet Sour
Toronto
B52 Shot
Kahlua Coffee
Kahlua Hot Chocolate
Mudslide
Revolver
Hemingway Daiquiri
Last Word
Martinez
Amaretto Sour
Bitters and Soda
Pisco Sour
Toronto Cocktail
